"","Genus","Kingdom","Phylum","Class","Order","Family","Species","OTU","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource"
"1","Acremonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","s__Acremonium_spinosum","8af19c6d709944f61693ae00679c8c3c","1CB17C40-36B9-11D5-9548-00D0592D548C","7028","Genus","Pathotroph-Saprotroph-Symbiotroph","Pathogen","Possible","Microfungus","Soft Rot","Endophyte detection method-culture (Hanada et al. 2010, Del Olmo-Ruiz & Arnold 2014); Likely opportunistic human pathogen (Irinyi et al. 2015)","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Worrall JJ, et al. 1997. Mycologia 89:199-219 ((https://doi.org/10.2307/3761073)); Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53313-337 ((https://doi.org/10.1093/mmy/myv008))"
"2","Agaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,"2d9a9fe115260c2061870ad8b8ab588b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Agaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,"5e52d38604f06b9d250c656ab2f55138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Agaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,"ac678f61587f7f87025801b83e1e9dd6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Agaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,"b6f2b6032b322b086af130c24023986c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Agaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,"f4b20910836945dc6ba6a74a91b8d9ff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Agaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,"45d8e06c5d8130fcbd08d225de3edd2e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Agaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,"23b8973ac9e4ec16fc428878503279bd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Aleuria","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","s__Aleuria_aurantia","67d5f799d1c3f5598df285ae4c7c42fe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Alternaria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,"79c88c361f6334a7d0a8905c55a9a70e","1CB17D15-36B9-11D5-9548-00D0592D548C","7106","Genus","Pathotroph-Saprotroph-Symbiotroph","Pathogen","Possible","Microfungus","Soft Rot","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
